Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
COGENT BIOSCIENCES INC,COGT,19240Q201,BLR6XK8,0.212385,-,1691590.000,USD
PROTHENA CORP PLC,PRTA,G72800108,B91XRN2,0.197346,-,816791.000,USD
KURA ONCOLOGY INC,KURA,50127T109,BYZD465,0.192245,-,1531181.000,USD
ALTIMMUNE INC,ALT,02155H200,BFY7DC4,0.172681,-,1658792.000,USD
SANA BIOTECHNOLOGY INC,SANA,799566104,BMFJJ97,0.170032,-,3300154.000,USD
RELAY THERAPEUTICS INC,RLAY,75943R102,BN2R582,0.168885,-,2624098.000,USD
REPLIMUNE GROUP INC,REPL,76029N106,BDDVW37,0.166587,-,812831.000,USD
VIR BIOTECHNOLOGY INC,VIR,92764N102,BK4PZ38,0.159600,-,1269396.000,USD
EMERGENT BIOSOLUTIONS INC,EBS,29089Q105,B1HJLW5,0.152795,-,1521748.000,USD
VERVE THERAPEUTICS INC,VERV,92539P101,BNKGXX2,0.150596,-,1434532.000,USD
ARCTURUS THERAPEUTICS HOLDIN,ARCT,03969T109,BKC9SX3,0.149949,-,605637.000,USD
CULLINAN THERAPEUTICS INC,CGEM,230031106,BM90J52,0.145696,-,942603.000,USD
89BIO INC,ETNB,282559103,BK1K484,0.138982,-,933136.000,USD
ARCUS BIOSCIENCES INC,RCUS,03969F109,BDZT9Y9,0.134167,-,816900.000,USD
IMMUNOME INC,IMNM,45257U108,BM8FWX7,0.131990,-,855875.000,USD
ALLOGENE THERAPEUTICS INC,ALLO,019770106,BFZNYB7,0.131804,-,3863649.000,USD
ANAVEX LIFE SCIENCES CORP,AVXL,032797300,BYTYP72,0.130076,-,784431.000,USD
HUMACYTE INC,HUMA,44486Q103,BMYTJP4,0.129877,-,2429566.000,USD
KALVISTA PHARMACEUTICALS INC,KALV,483497103,BD06CS0,0.126875,-,572634.000,USD
XENCOR INC,XNCR,98401F105,BGCYWN8,0.122619,-,546482.000,USD
REGENXBIO INC,RGNX,75901B107,BZ0G875,0.116590,-,986649.000,USD
DIANTHUS THERAPEUTICS INC,DNTH,252828108,BN4J951,0.112214,-,299176.000,USD
STOKE THERAPEUTICS INC,STOK,86150R107,BJQ05Z6,0.106908,-,706940.000,USD
